sifra,naslov,avtor,cena_v_evrih,stevilo_strani,dimenzije,leto_izdaje,prevajalec,vezava,zalozba
013181,Vztrajna nevesta (Žepna knjiga),Jane Ashford,3.99,0,125 x 190 x 24,2015,Mojca Žnidar&scaron;ič,žepna,"Učila International, d.o.o."
003633,Obžalovana ena noč (trda vezava),Jodi Ellen Malpas,34.9,400,130 x 195 x 32 mm,2015,Katja Jeraj Valentinčič,trda,"Učila International, d.o.o."
013199,V vrtincu strasti z vojvodom (Žepna knjiga),Sarah MacLean,3.99,374,125 x 190 x 30 mm,2015,Petra Anžlovar,žepna,"Učila International, d.o.o."
003547,Krotilec levov (trda vezava),Camilla Lackberg,14.99,404,130 x 195 x 35 mm,2015,Danni Stražar,trda,"Učila International, d.o.o."
003658,Ljubezen med borovnicami (trda vezava),Mary Simses,32.9,318,130 x 195 x 28 mm,2015,Katja Bizjak,trda,"Učila International, d.o.o."
013203,Ljuba moja po&scaron;ast (Žepna knjiga),Elizabeth Hoyt,3.99,300,125 x 190 x 23 mm,2015,Ida Sternad,žepna,"Učila International, d.o.o."
013172,Polnočni vojvoda (Žepna knjiga),Elizabeth Hoyt,3.99,332,125 x 1910 x 24 mm,2015,Ida Sternad,žepna,"Učila International, d.o.o."
003566,V vrtincu strasti z vojvodom (trda vezava),Sarah MacLean,34.9,374,130 x 195 x 31 mm,2015,Petra Anžlovar,trda,"Učila International, d.o.o."
013194,Krojačica iz Dachaua (Žepna knjiga),Mary Chamberlain,10.9,332,125 x 190 x 26 mm,2015,Maja Prevolnik,žepna,"Učila International, d.o.o."
003503,&Scaron;aman (trda vezava),Noah Gordon,19.99,712,130 x 195 x 60 mm,2015,Suzana Pečnik,trda,"Učila International, d.o.o."
013178,Ustaljena (Žepna knjiga),Emma Chase,3.99,230,125 x 190 x 19 mm,2015,Neža Ropret,žepna,"Učila International, d.o.o."
013193,Obžalovana ena noč (Žepna knjiga),Jodi Ellen Malpas,12.9,400,125 x 190 x 30 mm,2015,Katja Jeraj Valentinčič,žepna,"Učila International, d.o.o."
013190,Na žerjavici (Žepna knjiga),James Patterson,10.9,358,125 x 190 x 26 mm,2015,02.03.2015,žepna,"Učila International, d.o.o."
003659,Ustaljena (trda vezava),Emma Chase,29.9,230,130 x 195 x 22 mm,2015,Neža Ropret,trda,"Učila International, d.o.o."
003453,Platanov drevored (trda vezava),John Grisham,36.9,542,130 x 195 x 43 mm,2015,Samo Ku&scaron;čer,trda,"Učila International, d.o.o."
003685,Sezona umorov (trda vezava),Mason Cross,14.99,380,130 x 195 x 30 mm,2015,Alja Gartner,trda,"Učila International, d.o.o."
013179,Ljubezen med borovnicami (Žepna knjiga),Mary Simses,10.9,318,125 x 190 x 28 mm,2015,Katja Bizjak,žepna,"Učila International, d.o.o."
003607,Zli um (trda vezava),Chris Carter,14.99,478,130 x 195 x 38 mm,2015,Barbara Trobentar,trda,"Učila International, d.o.o."
013202,Za vse večne čase (Žepna knjiga),Jude Deveraux,12.9,400,125 x 190 x 30 mm,2015,Barbara Golubovac,žepna,"Učila International, d.o.o."
013189,Poročna kupčija (Žepna knjiga),Jennifer Probst,3.99,232,125 x 190 x 18 mm,2015,Ur&scaron;ka Willewaldt,žepna,"Učila International, d.o.o."
013206,Povabilo na ples (Žepna knjiga),Mary Balogh,3.99,324,125 x 190 x 25 mm,2015,Irena Madric,žepna,"Učila International, d.o.o."
013191,Romanca z vojvodo (Žepna knjiga),Tessa Dare,3.99,310,125 x 190 x 24 mm,2015,Mateja Maligoj,žepna,"Učila International, d.o.o."
003681,Za vse večne čase (trda vezava),Jude Deveraux,34.9,400,130 x 195 x 33 mm,2015,Barbara Golubovac,trda,"Učila International, d.o.o."
003597,Krvavi krokarji (trda vezava),Simon Scarrow,14.99,438,130 x 195 x 35 mm,2015,Maja Lihtenvalner,trda,"Učila International, d.o.o."
003676,Na žerjavici (trda vezava),James Patterson,32.9,358,130 x 195 x 30 mm,2015,Petra Piber,trda,"Učila International, d.o.o."
003639,Spreobrnjeno srce (trda vezava),Jude Deveraux,14.99,304,130 x 195 x 26 mm,2015,Mateja Pintar,trda,"Učila International, d.o.o."
003608,Čudovita pozaba (trda vezava),Jamie McGuire,32.9,318,130 x 195 x 27 mm,2015,Primož Trobev&scaron;ek,trda,"Učila International, d.o.o."
003654,Mož v senci (trda vezava),Carl-Johan Vallgren,32.9,352,130 x 195 x 30 mm,2015,Martin Jankovič,trda,"Učila International, d.o.o."
003530,Krojačica iz Dachaua (trda vezava),Mary Chamberlain,32.9,332,130 x 195 x 27 mm,2015,Maja Prevolnik,trda,"Učila International, d.o.o."
003628,Nemirno morje (trda vezava),Jean-Luc Bannalec,29.9,316,130 x 195 x 27 mm,2015,Maru&scaron;a Mugerli Lavrenčič,trda,"Učila International, d.o.o."
013187,Pariz je vedno dobra izbira (Žepna knjiga),Nicolas Barreau,10.9,328,125 x 190 x 25 mm,2015,Tanja Viher,žepna,"Učila International, d.o.o."
003684,Kot v raju (trda vezava),Julia Quinn,6.0,304,130 x 195 x 26 mm,2015,Mojca Svetičič,trda,"Učila International, d.o.o."
003540,Vztrajna nevesta (trda vezava),Jane Ashford,12.99,318,130 x 195 x 27 mm,2015,Mojca Žnidar&scaron;ič,trda,"Učila International, d.o.o."
003651,&Scaron;kotska ulica (trda vezava),Samantha Young,14.99,304,130 x 195 x 25 mm,2015,Mojca Svetičič,trda,"Učila International, d.o.o."
003637,Preračunljivka v žametu (trda vezava),Loretta Chase,12.99,368,130 x 195 x 30 mm,2015,Maja Prevolnik,trda,"Učila International, d.o.o."
003627,Neznani Gauguin (trda vezava),Jean-Luc Bannalec,6.0,272,130 x 195 x 23 mm,2015,Maru&scaron;a Mugerli Lavrenčič,trda,"Učila International, d.o.o."
013171,Spreobrnjeno srce (Žepna knjiga),Jude Deveraux,3.99,304,125 x 190 x 22 mm,2015,Mateja Pintar,žepna,"Učila International, d.o.o."
003591,Povabilo na ples (trda knjiga),Mary Balogh,12.99,324,130 x 195 x 28 mm,2015,Irena Madric,trda,"Učila International, d.o.o."
003570,Polnočni vojvoda (trda vezava),Elizabeth Hoyt,32.9,332,130 x 195 x 27 mm,2015,Ida Sternad,trda,"Učila International, d.o.o."
013174,&Scaron;kotska ulica (Žepna knjiga),Samantha Young,10.9,304,125 x 190 x 24 mm,2015,Mojca Svetičič,žepna,"Učila International, d.o.o."
013183,Krotilec levov (Žepna knjiga),Camilla Lackberg,12.9,404,125 x 190 x 32 mm,2015,Danni Stražar,žepna,"Učila International, d.o.o."
003662,Romanca z vojvodo (trda vezava),Tessa Dare,32.9,310,130 x 195 x 27 mm,2015,Mateja Maligoj,trda,"Učila International, d.o.o."
013200,Sezona umorov (Žepna knjiga),Mason Cross,3.99,380,125 x 190 x 29 mm,2015,Alja Gartner,žepna,"Učila International, d.o.o."
013188,&Scaron;aman (Žepna knjiga),Noah Gordon,16.9,712,125 x 190 x 55 mm,2015,Suzana Pečnik,žepna,"Učila International, d.o.o."
013186,Nemirno morje (Žepna knjiga),Jean-Luc Bannalec,10.9,316,125 x 190 x 24 mm,2015,Maru&scaron;a Mugerli Lavrenčič,žepna,"Učila International, d.o.o."
003665,Poročna kupčija (trda vezava),Jennifer Probst,12.99,232,130 x 195 x 21 mm,2015,Ur&scaron;ka Willewaldt,trda,"Učila International, d.o.o."
003416,Bliža se poroka (trda vezava),Julia Quinn,14.99,392,"13,5 x 19,5 cm",2015,Mateja Maligoj,trda,"Učila International, d.o.o."
013195,Kot v raju (Žepna knjiga),Julia Quinn,3.99,304,125 x 190 x 23 mm,2015,Mojca Svetičič,žepna,"Učila International, d.o.o."
013180,Mož v senci (Žepna knjiga),Carl-Johan Vallgren,3.99,352,125 x 190 x 26 mm,2015,Martin Jankovič,žepna,"Učila International, d.o.o."
003613,Pariz je vedno dobra izbira (trda vezava),Nicolas Barreau,9.99,328,130 x 195 x 28 mm,2015,Tanja Viher,trda,"Učila International, d.o.o."
013198,Platanov drevored (Žepna knjiga),John Grisham,14.9,542,125 x 190 x 42 mm,2015,Samo Ku&scaron;čer,žepna,"Učila International, d.o.o."
